repo,repo_url,score,stars,pushed,release_asset_count,release_asset_name,release_asset_url,is_extension,distribution,notes
kathan3/duckdb_cuda_join,https://github.com/kathan3/duckdb_cuda_join,13,0,2025-06-02 20:56:40,0,,,,,
tobilg/duckdb-nodejs-layer,https://github.com/tobilg/duckdb-nodejs-layer,12,151,2026-01-31 14:59:21,0,,,,,
Tsihan/duckdb_RoaringBitmap,https://github.com/Tsihan/duckdb_RoaringBitmap,12,1,2024-06-04 17:37:58,0,,,,,
faros-ai/duckdb-java,https://github.com/faros-ai/duckdb-java,12,0,2024-11-15 17:24:46,0,,,,,
RelationalAI/duckdb,https://github.com/RelationalAI/duckdb,12,0,2025-02-25 11:30:53,0,,,,,
p-hoffmann/trexsql-java,https://github.com/p-hoffmann/trexsql-java,12,0,2026-02-14 09:25:47,0,,,,,
junchangwang/CS561-Bitmap-Indexing-Massive-Joins,https://github.com/junchangwang/CS561-Bitmap-Indexing-Massive-Joins,12,0,2026-02-14 04:09:12,0,,,,,
MSRG/REMOP,https://github.com/MSRG/REMOP,12,0,2026-02-27 19:25:00,0,,,,,
junchangwang/BitEngine,https://github.com/junchangwang/BitEngine,12,0,2026-02-27 14:24:10,0,,,,,
YimingQiao/Data-Chunk-Compaction-in-Duckdb,https://github.com/YimingQiao/Data-Chunk-Compaction-in-Duckdb,12,0,2026-01-08 04:20:58,0,,,,,
WanenGao/OriginalDuckdb,https://github.com/WanenGao/OriginalDuckdb,12,0,2024-04-12 07:38:29,0,,,,,
rootselaar/duckdb-safe-mode,https://github.com/rootselaar/duckdb-safe-mode,12,0,2024-04-12 14:57:16,0,,,,,
jassu75/Introducing-Materialized-Views-in-DuckDB,https://github.com/jassu75/Introducing-Materialized-Views-in-DuckDB,11,1,2025-12-08 02:31:55,0,,,,,
junchangwang/CS561-Access-Path-Selection,https://github.com/junchangwang/CS561-Access-Path-Selection,11,0,2026-02-14 03:08:08,0,,,,,
rbergm/quacklab,https://github.com/rbergm/quacklab,11,0,2026-01-21 11:22:51,0,,,,,
junchangwang/DuckDB-CUBIT,https://github.com/junchangwang/DuckDB-CUBIT,11,0,2025-06-10 04:40:14,0,,,,,
HPI-Information-Systems/wf-optimization,https://github.com/HPI-Information-Systems/wf-optimization,11,0,2026-02-10 20:41:33,0,,,,,
joel392001/DuckDB-Adaptive-Validation-and-Vector-Level-Locking,https://github.com/joel392001/DuckDB-Adaptive-Validation-and-Vector-Level-Locking,11,0,2025-07-03 17:49:27,0,,,,,
Snowflake-Labs/pg_lake,https://github.com/Snowflake-Labs/pg_lake,10,1431,2026-02-27 17:17:36,0,,,,,
sirius-db/sirius,https://github.com/sirius-db/sirius,10,885,2026-02-28 16:53:06,0,,,,,
dacort/duckdb-athena-extension,https://github.com/dacort/duckdb-athena-extension,10,57,2024-12-31 04:56:46,0,,,,,
vortex-data/duckdb-vortex,https://github.com/vortex-data/duckdb-vortex,10,48,2026-02-16 10:03:19,0,,,,,
open3fs/duckdb-3fs,https://github.com/open3fs/duckdb-3fs,10,39,2025-05-16 08:30:34,0,,,,,
itu-rad/nvmefs,https://github.com/itu-rad/nvmefs,10,11,2025-11-02 18:50:43,0,,,,,
bodowd/duckdb_rdkit,https://github.com/bodowd/duckdb_rdkit,10,11,2026-02-26 23:02:11,0,,,,,
vsbuffalo/duckdb-vcf-extension,https://github.com/vsbuffalo/duckdb-vcf-extension,10,11,2024-12-24 02:09:42,0,,,,,
rob2244/duckdb-snowflake,https://github.com/rob2244/duckdb-snowflake,10,9,2024-11-16 20:23:29,0,,,,,
ccfelius/VCrypt,https://github.com/ccfelius/VCrypt,10,4,2025-04-19 13:06:24,0,,,,,
archiewood/duckdb-plot,https://github.com/archiewood/duckdb-plot,10,4,2024-07-21 21:38:06,0,,,,,
loloxwg/duckdb-onnx,https://github.com/loloxwg/duckdb-onnx,10,4,2025-04-09 09:28:22,0,,,,,
Xuanwo/duckdb-opendal,https://github.com/Xuanwo/duckdb-opendal,10,4,2026-02-03 19:50:06,0,,,,,
purduedb/DB4GenAI,https://github.com/purduedb/DB4GenAI,10,3,2024-05-26 17:45:18,0,,,,,
Alex-Monahan/sql-only-duckdb-extension,https://github.com/Alex-Monahan/sql-only-duckdb-extension,10,3,2024-09-26 14:37:47,0,,,,,
maxi-k/duckdb-saneql,https://github.com/maxi-k/duckdb-saneql,10,2,2024-12-17 11:53:40,0,,,,,
PassoOrg/duckdb_salesforce,https://github.com/PassoOrg/duckdb_salesforce,10,2,2024-11-24 10:01:29,0,,,,,
Smallhi/duckdb-odps,https://github.com/Smallhi/duckdb-odps,10,2,2025-07-13 01:49:29,0,,,,,
pindamonhangaba/duckdb-pdf,https://github.com/pindamonhangaba/duckdb-pdf,10,2,2025-06-25 22:06:00,0,,,,,
Arengard/stps-extension,https://github.com/Arengard/stps-extension,10,1,2026-02-28 12:56:08,30,stps-macos.duckdb_extension,https://github.com/Arengard/stps-extension/releases/download/build-20260221-202839-6df77a4/stps-macos.duckdb_extension,,,
